,address,num_bathrooms,num_bedrooms,lat,long,price
0,"136 Mairangi Road, Wilton, Wellington",1,2,-41.2680735167,174.7643546,$TBC
1,"19 Lochiel Road, Khandallah, Wellington",3,4,-41.2469473833,174.7933807,$TBC
2,"2/99 Dixon Street, Te Aro, Wellington",2,3,-41.2912210667,174.774468867,$TBC
3,"48B Wright Street, Mount Cook, Wellington",1,3,-41.3057513833,174.773429183,$TBC
4,"36 Reuben Avenue, Brooklyn, Wellington",2,3,-41.30812055,174.76095695,$TBC
5,"6/143 Cockayne Road, Khandallah, Wellington",2,3,-41.2522573167,174.783744583,$TBC
6,"99 Brougham Street, Mount Victoria, Wellington",2,3,-41.2990689333,174.784213767,$TBC
7,"8 Darwin Street, Karori, Wellington",2,4,-41.2836300833,174.733887183,$TBC
8,"15 Orari Street, Ngaio, Wellington",2,4,-41.2538329333,174.773574233,$TBC
9,"76 Farnham Street, Mornington, Wellington",1,3,-41.3193655167,174.766564567,$TBC
10,"8 Rochester Street, Wilton, Wellington",1,3,-41.2702802333,174.759367883,$TBC
11,"40 Ngatoto Street, Ngaio, Wellington",1,3,-41.2485057667,174.782455267,$TBC
12,"367A Karori Road, Karori, Wellington",1,2,-41.2873219167,174.728158833,$TBC
13,"24 Gloucester Street, Wilton, Wellington",1,3,-41.2695816833,174.7567048,$TBC
14,"38 Todman Street, Brooklyn, Wellington",1,3,-41.3062454833,174.761418417,$TBC
15,"25 Voltaire Street, Karori, Wellington",2,3,-41.29397055,174.74336915,$TBC
16,"13 Ngaio Gorge Road, Ngaio, Wellington",1,3,-41.2559402333,174.773307867,"$855,000"
17,"B/82 Wallace Street, Mount Cook, Wellington",1,2,-41.3047314833,174.77487865,$TBC
18,"42A Landsdowne Terrace, Karori, Wellington",2,3,-41.29200555,174.729298883,$TBC
19,"160 Pembroke Road, Wilton, Wellington",2,3,-41.2717910167,174.7594861,$TBC
20,"6/11 Dufferin Street, Mount Victoria, Wellington",1,2,-41.3009724667,174.78162945,$TBC
21,"3 William Street, Hataitai, Wellington",1,3,-41.3046229167,174.7951863,$TBC
22,"36 Amritsar Street, Khandallah, Wellington",2,4,-41.2502737333,174.79714995,$TBC
23,"59 Fox Street, Ngaio, Wellington",2,4,-41.2451138,174.7763403,$TBC
24,"89 Totara Road, Miramar, Wellington",2,3,-41.3072796,174.826682783,$TBC
25,"159 Washington Avenue, Brooklyn, Wellington",1,3,-41.3099783833,174.766292367,$TBC
26,"377A Karaka Bay Road, Karaka Bays, Wellington",2,4,-41.3056154833,174.83112465,$TBC
